,date,un_rate,12_mo_unemp_change,median_household_price,pct_house_change_year,housing_climb_change,cpi_change_all,cpi_change_less_food_and_energy,36_mo_cpi_change_all,average_sp_price,pct_monthly_sp_change,pct_bimonthly_sp_change,ten_yr_yield,one_yr_yield,yield_diff,yield_below_zero,years_since_recession,years_until_recession,recession_in_next_year,in_recession
487,2008-08-01,6.1,1.5,226500.0,-6.327543424317618,-8.959122371686039,5.30802,2.49812,1.6610900000000002,1281.47,1.9199414632594547,-4.457036346691517,3.97,2.25,1.7200000000000002,0,0.0,0.0,1.0,1
488,2008-09-01,6.1,1.3999999999999995,226500.0,-6.327543424317618,-8.959122371686039,4.95332,2.43862,0.2114899999999995,1216.95,-5.034842797724487,-3.2115673689484767,3.74,2.12,1.62,0,0.0,0.0,1.0,1
489,2008-10-01,6.5,1.7999999999999998,222500.0,-6.669463087248322,-3.8169773496770096,3.73106,2.22136,-0.6190400000000005,968.8,-20.39114178889848,-24.399322652890827,3.77,1.72,2.05,0,0.0,0.0,1.0,1
490,2008-11-01,6.8,2.0999999999999996,222500.0,-6.669463087248322,-3.8169773496770096,1.09992,2.01589,-2.23863,883.04,-8.85218827415359,-27.438267800649168,3.96,1.31,2.65,0,0.0,0.0,1.0,1
491,2008-12-01,7.3,2.3,222500.0,-6.669463087248322,-3.8169773496770096,-0.02223,1.76246,-3.36078,877.56,-0.6205834390288116,-9.417836498761357,2.72,0.81,1.9100000000000001,0,0.0,0.0,1.0,1
492,2009-01-01,7.8,2.8,208400.0,-10.902094912355707,-1.7723357825965778,-0.11359,1.67235,-4.13238,865.58,-1.3651488217329761,-1.977260373256016,2.46,0.4,2.06,0,0.0,0.0,1.0,1
493,2009-02-01,8.3,3.4000000000000004,208400.0,-10.902094912355707,-1.7723357825965778,0.00846,1.80098,-3.6297900000000003,805.23,-6.972203609140694,-8.242171475454663,2.76,0.51,2.25,0,0.0,0.0,1.0,1
494,2009-03-01,8.7,3.5999999999999996,208400.0,-10.902094912355707,-1.7723357825965778,-0.44648,1.78761,-3.8644,757.13,-5.973448579908848,-12.529171191570972,2.91,0.67,2.24,0,0.0,0.0,1.0,1
495,2009-04-01,9.0,4.0,220900.0,-6.119847003824904,-3.2709617849974886,-0.57632,1.93233,-4.1901600000000006,848.15,12.021713576268274,5.330154117457119,2.68,0.58,2.1,0,0.0,0.0,1.0,1
496,2009-05-01,9.4,4.0,220900.0,-6.119847003824904,-3.2709617849974886,-1.01576,1.84613,-4.99303,902.41,6.3974532806696915,19.188250366515653,3.21,0.49,2.7199999999999998,0,0.0,0.0,1.0,1
497,2009-06-01,9.5,3.9000000000000004,220900.0,-6.119847003824904,-3.2709617849974886,-1.22917,1.71197,-5.41089,926.12,2.6274088274731042,9.192949360372578,3.71,0.48,3.23,0,0.0,0.0,1.0,1
498,2009-07-01,9.5,3.7,214300.0,-5.386313465783664,0.9412299585339534,-1.95876,1.5271,-6.063429999999999,935.82,1.0473804690536912,3.702308263427941,3.55,0.54,3.01,0,0.0821917808219178,10.594520547945205,0.0,0
499,2009-08-01,9.6,3.5,214300.0,-5.386313465783664,0.9412299585339534,-1.48384,1.43397,-5.41041,1009.73,7.8978863456647606,9.027987733771003,3.66,0.48,3.18,0,0.16712328767123288,10.509589041095891,0.0,0
500,2009-09-01,9.8,3.700000000000001,214300.0,-5.386313465783664,0.9412299585339534,-1.37794,1.47984,-3.39001,1044.55,3.448446614441478,11.61868735440575,3.38,0.43,2.9499999999999997,0,0.25205479452054796,10.424657534246576,0.0,0
501,2009-10-01,10.0,3.5,219000.0,-1.5730337078651686,5.096429379383153,-0.22397,1.71273,-1.6303,1067.66,2.212435977215081,5.737177265209517,3.21,0.37,2.84,0,0.33424657534246577,10.342465753424657,0.0,0
